'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:16:51.104 09/02/1989]',0.090,194.394,0.003,-0.038
'[23:16:51.108 09/02/1989]',0.088,192.787,0.004,-0.033
'[23:16:51.112 09/02/1989]',0.090,191.869,0.003,-0.043
'[23:16:51.116 09/02/1989]',0.088,190.262,0.003,-0.040
'[23:16:51.120 09/02/1989]',0.090,188.197,0.002,-0.045
'[23:16:51.124 09/02/1989]',0.102,185.902,0.001,-0.038
'[23:16:51.128 09/02/1989]',0.106,183.836,0.001,-0.036
'[23:16:51.132 09/02/1989]',0.112,181.771,0.002,-0.038
'[23:16:51.136 09/02/1989]',0.108,180.853,0.002,-0.040
'[23:16:51.140 09/02/1989]',0.120,178.328,0.003,-0.036
'[23:16:51.144 09/02/1989]',0.116,176.262,0.003,-0.040
'[23:16:51.148 09/02/1989]',0.122,175.115,0.003,-0.038
'[23:16:51.152 09/02/1989]',0.124,173.279,0.005,-0.038
'[23:16:51.156 09/02/1989]',0.144,172.361,0.008,-0.036
'[23:16:51.160 09/02/1989]',0.136,170.295,0.013,-0.029
'[23:16:51.164 09/02/1989]',0.144,168.918,0.017,-0.031
'[23:16:51.168 09/02/1989]',0.138,167.771,0.022,-0.031
'[23:16:51.172 09/02/1989]',0.146,167.082,0.027,-0.040
'[23:16:51.176 09/02/1989]',0.136,166.394,0.029,-0.038
'[23:16:51.180 09/02/1989]',0.142,165.705,0.031,-0.040
'[23:16:51.184 09/02/1989]',0.142,165.017,0.034,-0.038
'[23:16:51.188 09/02/1989]',0.136,165.246,0.033,-0.036
'[23:16:51.192 09/02/1989]',0.134,164.098,0.033,-0.043
'[23:16:51.196 09/02/1989]',0.132,163.410,0.033,-0.043
'[23:16:51.200 09/02/1989]',0.122,164.098,0.031,-0.040
'[23:16:51.204 09/02/1989]',0.110,163.410,0.029,-0.043
'[23:16:51.208 09/02/1989]',0.116,162.492,0.029,-0.031
'[23:16:51.212 09/02/1989]',0.124,162.492,0.025,-0.043
'[23:16:51.216 09/02/1989]',0.118,161.803,0.022,-0.043
'[23:16:51.220 09/02/1989]',0.120,162.033,0.017,-0.050
'[23:16:51.224 09/02/1989]',0.136,160.885,0.014,-0.036
'[23:16:51.228 09/02/1989]',0.120,160.656,0.010,-0.040
'[23:16:51.232 09/02/1989]',0.134,160.197,0.005,-0.043
'[23:16:51.236 09/02/1989]',0.114,159.508,0.004,-0.040
'[23:16:51.240 09/02/1989]',0.118,158.820,0.001,-0.038
'[23:16:51.244 09/02/1989]',0.112,157.902,-0.001,-0.038
'[23:16:51.248 09/02/1989]',0.106,156.295,-0.002,-0.036
'[23:16:51.252 09/02/1989]',0.108,155.607,-0.001,-0.036
'[23:16:51.256 09/02/1989]',0.104,153.541,-0.002,-0.029
'[23:16:51.260 09/02/1989]',0.096,152.394,0.003,-0.029
'[23:16:51.264 09/02/1989]',0.104,150.328,0.004,-0.029
'[23:16:51.268 09/02/1989]',0.088,148.262,0.004,-0.024
'[23:16:51.272 09/02/1989]',0.076,146.885,0.003,-0.033
'[23:16:51.276 09/02/1989]',0.086,143.672,0.005,-0.026
'[23:16:51.280 09/02/1989]',0.080,142.066,0.003,-0.029
'[23:16:51.284 09/02/1989]',0.084,139.541,0.005,-0.024
'[23:16:51.288 09/02/1989]',0.088,136.787,0.003,-0.029
'[23:16:51.292 09/02/1989]',0.082,134.492,0.006,-0.026
'[23:16:51.296 09/02/1989]',0.088,132.426,0.004,-0.026
'[23:16:51.300 09/02/1989]',0.066,130.590,0.005,-0.019
'[23:16:51.304 09/02/1989]',0.070,127.836,-0.000,-0.019
'[23:16:51.308 09/02/1989]',0.078,126.459,0.003,-0.014
'[23:16:51.312 09/02/1989]',0.064,123.935,0.002,-0.017
'[23:16:51.316 09/02/1989]',0.058,122.787,0.003,-0.021
'[23:16:51.320 09/02/1989]',0.060,121.639,0.002,-0.021
'[23:16:51.324 09/02/1989]',0.086,120.951,0.003,-0.019
'[23:16:51.328 09/02/1989]',0.048,119.344,0.003,-0.019
'[23:16:51.332 09/02/1989]',0.066,118.885,0.003,-0.019
'[23:16:51.336 09/02/1989]',0.068,118.885,0.005,-0.019
'[23:16:51.340 09/02/1989]',0.078,118.426,0.005,-0.012
'[23:16:51.344 09/02/1989]',0.076,119.115,0.002,-0.014
'[23:16:51.348 09/02/1989]',0.082,118.885,0.004,-0.010
'[23:16:51.352 09/02/1989]',0.078,119.344,0.001,-0.010
'[23:16:51.356 09/02/1989]',0.078,119.803,0.003,-0.010
'[23:16:51.360 09/02/1989]',0.082,119.803,0.002,-0.007
'[23:16:51.364 09/02/1989]',0.078,120.721,0.000,-0.000
'[23:16:51.368 09/02/1989]',0.090,121.180,0.002,0.002
'[23:16:51.372 09/02/1989]',0.094,121.410,-0.000,0.005
'[23:16:51.376 09/02/1989]',0.090,122.557,-0.000,0.010
'[23:16:51.380 09/02/1989]',0.096,123.475,0.001,-0.000
'[23:16:51.384 09/02/1989]',0.082,124.164,0.002,0.005
'[23:16:51.388 09/02/1989]',0.090,124.853,-0.000,0.002
'[23:16:51.392 09/02/1989]',0.080,125.771,0.002,0.005
'[23:16:51.396 09/02/1989]',0.096,126.230,-0.001,0.007
'[23:16:51.400 09/02/1989]',0.080,126.689,-0.000,0.017
'[23:16:51.404 09/02/1989]',0.072,126.918,-0.000,0.014
'[23:16:51.408 09/02/1989]',0.068,126.689,0.002,0.010
'[23:16:51.412 09/02/1989]',0.078,126.459,0.001,0.019
'[23:16:51.416 09/02/1989]',0.072,126.689,0.001,0.010
'[23:16:51.420 09/02/1989]',0.058,126.459,-0.000,0.012
'[23:16:51.424 09/02/1989]',0.084,126.459,-0.003,0.019
'[23:16:51.428 09/02/1989]',0.078,125.312,-0.003,0.014
'[23:16:51.432 09/02/1989]',0.070,124.394,-0.002,0.017
'[23:16:51.436 09/02/1989]',0.084,124.394,0.000,0.021
'[23:16:51.440 09/02/1989]',0.096,123.475,0.001,0.019
'[23:16:51.444 09/02/1989]',0.074,123.475,-0.000,0.014
'[23:16:51.448 09/02/1989]',0.108,122.098,0.001,0.026
'[23:16:51.452 09/02/1989]',0.080,120.951,0.001,0.024
'[23:16:51.456 09/02/1989]',0.072,120.951,-0.001,0.021
'[23:16:51.460 09/02/1989]',0.090,120.033,-0.000,0.024
'[23:16:51.464 09/02/1989]',0.080,118.426,0.001,0.029
'[23:16:51.468 09/02/1989]',0.104,117.967,0.004,0.029
'[23:16:51.472 09/02/1989]',0.086,117.508,0.002,0.026
'[23:16:51.476 09/02/1989]',0.106,117.049,0.005,0.026
'[23:16:51.480 09/02/1989]',0.106,116.131,0.005,0.029
'[23:16:51.484 09/02/1989]',0.138,114.525,0.007,0.031
'[23:16:51.488 09/02/1989]',0.102,113.836,0.008,0.031
'[23:16:51.492 09/02/1989]',0.128,113.607,0.011,0.036
'[23:16:51.496 09/02/1989]',0.136,112.918,0.011,0.029
'[23:16:51.500 09/02/1989]',0.142,112.459,0.010,0.033
'[23:16:51.504 09/02/1989]',0.152,112.459,0.009,0.031
'[23:16:51.508 09/02/1989]',0.176,111.541,0.013,0.031
'[23:16:51.512 09/02/1989]',0.200,110.853,0.011,0.033
'[23:16:51.516 09/02/1989]',0.200,110.164,0.014,0.036
'[23:16:51.520 09/02/1989]',0.192,109.475,0.013,0.033
'[23:16:51.524 09/02/1989]',0.240,108.787,0.017,0.040
'[23:16:51.528 09/02/1989]',0.222,109.016,0.017,0.033
'[23:16:51.532 09/02/1989]',0.276,107.869,0.019,0.033
'[23:16:51.536 09/02/1989]',0.206,108.328,0.020,0.036
'[23:16:51.540 09/02/1989]',0.248,107.410,0.022,0.043
'[23:16:51.544 09/02/1989]',0.184,107.410,0.022,0.031
'[23:16:51.548 09/02/1989]',0.182,106.951,0.022,0.036
'[23:16:51.552 09/02/1989]',0.208,106.721,0.022,0.036
'[23:16:51.556 09/02/1989]',0.196,105.803,0.023,0.045
'[23:16:51.560 09/02/1989]',0.150,104.885,0.021,0.048
'[23:16:51.564 09/02/1989]',0.104,104.885,0.020,0.045
'[23:16:51.568 09/02/1989]',0.064,104.885,0.018,0.045
'[23:16:51.572 09/02/1989]',0.060,104.656,0.016,0.038
'[23:16:51.576 09/02/1989]',0.028,104.656,0.014,0.043
'[23:16:51.580 09/02/1989]',0.024,103.738,0.013,0.043
'[23:16:51.584 09/02/1989]',0.034,103.738,0.015,0.045
'[23:16:51.588 09/02/1989]',0.016,102.820,0.012,0.043
'[23:16:51.592 09/02/1989]',0.028,102.820,0.011,0.050
'[23:16:51.596 09/02/1989]',0.024,102.590,0.008,0.050
'[23:16:51.600 09/02/1989]',0.024,102.820,0.005,0.048
'[23:16:51.604 09/02/1989]',-0.000,102.820,0.001,0.048
'[23:16:51.608 09/02/1989]',0.028,102.131,0.000,0.052
'[23:16:51.612 09/02/1989]',0.034,101.902,-0.001,0.048
'[23:16:51.616 09/02/1989]',0.040,101.213,-0.002,0.048
'[23:16:51.620 09/02/1989]',0.012,101.213,-0.004,0.048
'[23:16:51.624 09/02/1989]',-0.012,101.672,-0.006,0.048
'[23:16:51.628 09/02/1989]',0.008,100.754,-0.007,0.052
'[23:16:51.632 09/02/1989]',-0.000,100.984,-0.008,0.052
'[23:16:51.636 09/02/1989]',-0.000,100.525,-0.008,0.050
'[23:16:51.640 09/02/1989]',0.044,100.754,-0.006,0.055
'[23:16:51.644 09/02/1989]',0.002,100.295,-0.007,0.052
'[23:16:51.648 09/02/1989]',0.024,100.066,-0.006,0.048
'[23:16:51.652 09/02/1989]',-0.038,100.066,-0.004,0.052
'[23:16:51.656 09/02/1989]',-0.026,99.377,-0.002,0.055
'[23:16:51.660 09/02/1989]',-0.096,100.066,-0.003,0.057
'[23:16:51.664 09/02/1989]',-0.132,99.607,0.001,0.052
'[23:16:51.668 09/02/1989]',-0.060,99.377,-0.001,0.057
'[23:16:51.672 09/02/1989]',0.112,99.836,-0.000,0.057
'[23:16:51.676 09/02/1989]',0.510,99.148,-0.001,0.059
'[23:16:51.680 09/02/1989]',0.986,99.377,0.002,0.064
'[23:16:51.684 09/02/1989]',1.376,99.377,-0.000,0.062
'[23:16:51.688 09/02/1989]',1.658,98.689,0.002,0.069
'[23:16:51.692 09/02/1989]',1.782,98.230,0.003,0.076
'[23:16:51.696 09/02/1989]',1.274,98.230,0.004,0.083
'[23:16:51.700 09/02/1989]',0.928,97.312,0.005,0.093
'[23:16:51.704 09/02/1989]',0.462,97.312,0.005,0.090
'[23:16:51.708 09/02/1989]',-0.100,96.394,0.004,0.095
'[23:16:51.712 09/02/1989]',-0.376,97.312,0.001,0.093
'[23:16:51.716 09/02/1989]',-0.592,96.623,-0.000,0.105
'[23:16:51.720 09/02/1989]',-0.818,96.623,-0.004,0.097
'[23:16:51.724 09/02/1989]',-0.800,96.394,-0.003,0.102
'[23:16:51.728 09/02/1989]',-0.656,96.394,-0.003,0.105
'[23:16:51.732 09/02/1989]',-0.450,96.394,-0.004,0.105
'[23:16:51.736 09/02/1989]',-0.304,95.934,-0.004,0.102
'[23:16:51.740 09/02/1989]',-0.156,96.164,-0.004,0.105
'[23:16:51.744 09/02/1989]',-0.136,95.705,-0.002,0.109
'[23:16:51.748 09/02/1989]',-0.096,95.016,-0.002,0.114
'[23:16:51.752 09/02/1989]',-0.126,95.246,-0.002,0.124
'[23:16:51.756 09/02/1989]',-0.122,94.098,-0.002,0.124
'[23:16:51.760 09/02/1989]',-0.096,93.639,-0.003,0.124
'[23:16:51.764 09/02/1989]',-0.064,92.951,-0.004,0.124
'[23:16:51.768 09/02/1989]',-0.056,93.180,-0.005,0.133
'[23:16:51.772 09/02/1989]',-0.048,93.410,-0.007,0.133
'[23:16:51.776 09/02/1989]',-0.064,92.721,-0.005,0.135
'[23:16:51.780 09/02/1989]',-0.038,93.180,-0.006,0.138
'[23:16:51.784 09/02/1989]',-0.048,93.180,-0.004,0.145
'[23:16:51.788 09/02/1989]',-0.026,92.492,-0.005,0.143
'[23:16:51.792 09/02/1989]',-0.016,92.262,-0.005,0.145
'[23:16:51.796 09/02/1989]',-0.008,92.033,-0.004,0.145
'[23:16:51.800 09/02/1989]',-0.014,91.803,-0.005,0.152
'[23:16:51.804 09/02/1989]',-0.002,91.803,-0.004,0.152
'[23:16:51.808 09/02/1989]',-0.000,91.344,-0.003,0.159
'[23:16:51.812 09/02/1989]',-0.004,91.344,-0.004,0.157
'[23:16:51.816 09/02/1989]',-0.020,90.885,-0.002,0.166
'[23:16:51.820 09/02/1989]',-0.000,90.885,-0.003,0.164
'[23:16:51.824 09/02/1989]',-0.000,90.197,-0.001,0.171
'[23:16:51.828 09/02/1989]',0.016,90.197,-0.001,0.176
'[23:16:51.832 09/02/1989]',0.004,89.279,0.002,0.183
'[23:16:51.836 09/02/1989]',-0.014,89.738,0.002,0.178
'[23:16:51.840 09/02/1989]',-0.000,89.967,0.004,0.181
'[23:16:51.844 09/02/1989]',0.008,89.508,0.006,0.181
'[23:16:51.848 09/02/1989]',0.048,89.967,0.007,0.185
'[23:16:51.852 09/02/1989]',0.040,89.967,0.008,0.181
'[23:16:51.856 09/02/1989]',0.046,90.656,0.010,0.181
'[23:16:51.860 09/02/1989]',0.060,91.574,0.009,0.181
'[23:16:51.864 09/02/1989]',0.044,92.951,0.011,0.190
'[23:16:51.868 09/02/1989]',0.024,94.557,0.011,0.183
'[23:16:51.872 09/02/1989]',0.046,96.394,0.012,0.190
'[23:16:51.876 09/02/1989]',0.038,98.918,0.010,0.190
'[23:16:51.880 09/02/1989]',0.052,102.131,0.008,0.200
'[23:16:51.884 09/02/1989]',0.052,106.262,0.006,0.192
'[23:16:51.888 09/02/1989]',0.054,110.394,0.005,0.200
'[23:16:51.892 09/02/1989]',0.054,114.984,0.006,0.204
'[23:16:51.896 09/02/1989]',0.062,119.803,0.007,0.207
'[23:16:51.900 09/02/1989]',0.070,124.623,0.006,0.202
'[23:16:51.904 09/02/1989]',0.048,130.820,0.001,0.204
'[23:16:51.908 09/02/1989]',0.070,136.328,-0.000,0.211
'[23:16:51.912 09/02/1989]',0.070,141.836,-0.000,0.209
'[23:16:51.916 09/02/1989]',0.056,147.344,-0.002,0.209
'[23:16:51.920 09/02/1989]',0.062,153.082,-0.005,0.209
'[23:16:51.924 09/02/1989]',0.080,157.902,-0.005,0.216
'[23:16:51.928 09/02/1989]',0.080,162.951,-0.007,0.219
'[23:16:51.932 09/02/1989]',0.080,167.082,-0.009,0.226
'[23:16:51.936 09/02/1989]',0.064,171.213,-0.005,0.223
'[23:16:51.940 09/02/1989]',0.068,174.656,-0.009,0.226
'[23:16:51.944 09/02/1989]',0.068,177.410,-0.007,0.240
'[23:16:51.948 09/02/1989]',0.082,179.476,-0.005,0.230
'[23:16:51.952 09/02/1989]',0.048,180.853,-0.003,0.238
'[23:16:51.956 09/02/1989]',0.062,182.230,-0.002,0.238
'[23:16:51.960 09/02/1989]',0.076,182.000,-0.001,0.238
'[23:16:51.964 09/02/1989]',0.080,182.459,-0.001,0.245
'[23:16:51.968 09/02/1989]',0.088,181.771,0.001,0.238
'[23:16:51.972 09/02/1989]',0.062,180.853,-0.000,0.242
'[23:16:51.976 09/02/1989]',0.112,178.787,0.003,0.245
'[23:16:51.980 09/02/1989]',0.098,177.180,0.002,0.259
'[23:16:51.984 09/02/1989]',0.088,175.574,0.002,0.247
'[23:16:51.988 09/02/1989]',0.104,174.197,-0.002,0.257
'[23:16:51.992 09/02/1989]',0.128,171.672,-0.002,0.257
'[23:16:51.996 09/02/1989]',0.132,170.295,-0.003,0.257
'[23:16:52.000 09/02/1989]',0.136,168.459,-0.004,0.261
'[23:16:52.004 09/02/1989]',0.146,166.164,-0.004,0.259
'[23:16:52.008 09/02/1989]',0.128,163.869,-0.002,0.259
'[23:16:52.012 09/02/1989]',0.138,162.721,-0.002,0.259
'[23:16:52.016 09/02/1989]',0.136,160.885,-0.003,0.276
'[23:16:52.020 09/02/1989]',0.138,158.820,-0.001,0.273
'[23:16:52.024 09/02/1989]',0.146,157.672,-0.000,0.276
'[23:16:52.028 09/02/1989]',0.142,155.607,-0.000,0.266
'[23:16:52.032 09/02/1989]',0.108,155.148,-0.000,0.266
'[23:16:52.036 09/02/1989]',0.114,154.000,0.002,0.268
'[23:16:52.040 09/02/1989]',0.144,153.082,0.002,0.268
'[23:16:52.044 09/02/1989]',0.120,151.705,0.003,0.273
'[23:16:52.048 09/02/1989]',0.120,151.476,0.003,0.276
'[23:16:52.052 09/02/1989]',0.126,150.328,0.002,0.280
'[23:16:52.056 09/02/1989]',0.110,150.098,0.001,0.278
'[23:16:52.060 09/02/1989]',0.082,149.639,0.004,0.278
'[23:16:52.064 09/02/1989]',0.130,148.951,0.003,0.280
'[23:16:52.068 09/02/1989]',0.140,148.721,0.007,0.276
'[23:16:52.072 09/02/1989]',0.116,148.721,0.008,0.276
'[23:16:52.076 09/02/1989]',0.088,147.803,0.014,0.278
'[23:16:52.080 09/02/1989]',0.112,147.803,0.015,0.283
'[23:16:52.084 09/02/1989]',0.080,145.967,0.016,0.287
'[23:16:52.088 09/02/1989]',0.086,145.738,0.013,0.280
'[23:16:52.092 09/02/1989]',0.090,144.131,0.014,0.287
'[23:16:52.096 09/02/1989]',0.084,143.902,0.010,0.292
'[23:16:52.100 09/02/1989]',0.096,142.295,0.015,0.297
'[23:16:52.104 09/02/1989]',0.072,140.918,0.013,0.295
'[23:16:52.108 09/02/1989]',0.050,139.771,0.014,0.304
'[23:16:52.112 09/02/1989]',0.128,138.394,0.011,0.295
'[23:16:52.116 09/02/1989]',0.080,136.787,0.011,0.302
'[23:16:52.120 09/02/1989]',0.096,134.721,0.006,0.306
'[23:16:52.124 09/02/1989]',0.096,132.197,0.004,0.304
'[23:16:52.128 09/02/1989]',0.096,130.361,0.002,0.304
'[23:16:52.132 09/02/1989]',0.120,128.525,-0.000,0.309
'[23:16:52.136 09/02/1989]',0.084,125.771,0.001,0.309
'[23:16:52.140 09/02/1989]',0.160,123.475,-0.000,0.321
'[23:16:52.144 09/02/1989]',0.082,120.262,-0.000,0.318
'[23:16:52.148 09/02/1989]',0.104,118.656,-0.003,0.323
'[23:16:52.152 09/02/1989]',0.102,117.049,-0.002,0.323
'[23:16:52.156 09/02/1989]',0.126,115.443,-0.003,0.323
'[23:16:52.160 09/02/1989]',0.088,113.148,-0.000,0.325
'[23:16:52.164 09/02/1989]',0.094,112.459,0.002,0.330
'[23:16:52.168 09/02/1989]',0.072,110.853,0.005,0.325
'[23:16:52.172 09/02/1989]',0.104,110.164,0.006,0.335
'[23:16:52.176 09/02/1989]',0.080,110.394,0.007,0.328
'[23:16:52.180 09/02/1989]',0.088,109.934,0.010,0.335
'[23:16:52.184 09/02/1989]',0.064,109.705,0.008,0.337
'[23:16:52.188 09/02/1989]',0.074,110.394,0.006,0.342
'[23:16:52.192 09/02/1989]',0.094,110.164,0.008,0.342
'[23:16:52.196 09/02/1989]',0.108,111.082,0.011,0.347
'[23:16:52.200 09/02/1989]',0.118,111.541,0.009,0.347
'[23:16:52.204 09/02/1989]',0.128,112.230,0.009,0.352
'[23:16:52.208 09/02/1989]',0.102,112.689,0.010,0.352
'[23:16:52.212 09/02/1989]',0.114,114.525,0.011,0.352
'[23:16:52.216 09/02/1989]',0.112,114.754,0.008,0.344
'[23:16:52.220 09/02/1989]',0.102,115.213,0.006,0.361
'[23:16:52.224 09/02/1989]',0.110,115.902,0.004,0.352
'[23:16:52.228 09/02/1989]',0.104,116.590,0.005,0.354
'[23:16:52.232 09/02/1989]',0.096,117.279,0.002,0.366
'[23:16:52.236 09/02/1989]',0.064,118.426,0.003,0.359
'[23:16:52.240 09/02/1989]',0.090,119.115,0.001,0.361
'[23:16:52.244 09/02/1989]',0.064,118.885,0.000,0.361
'[23:16:52.248 09/02/1989]',0.104,119.574,0.004,0.373
'[23:16:52.252 09/02/1989]',0.078,119.574,0.005,0.368
'[23:16:52.256 09/02/1989]',0.102,120.033,0.005,0.363
'[23:16:52.260 09/02/1989]',0.076,120.033,0.008,0.363
'[23:16:52.264 09/02/1989]',0.096,120.262,0.002,0.373
'[23:16:52.268 09/02/1989]',0.108,120.262,0.005,0.371
'[23:16:52.272 09/02/1989]',0.064,120.033,0.003,0.371
'[23:16:52.276 09/02/1989]',0.104,119.344,0.004,0.371
'[23:16:52.280 09/02/1989]',0.086,119.344,0.002,0.380
'[23:16:52.284 09/02/1989]',0.088,118.656,-0.000,0.375
'[23:16:52.288 09/02/1989]',0.104,118.426,-0.004,0.375
'[23:16:52.292 09/02/1989]',0.112,117.508,-0.002,0.378
'[23:16:52.296 09/02/1989]',0.080,117.508,-0.003,0.380
'[23:16:52.300 09/02/1989]',0.114,116.590,-0.005,0.382
'[23:16:52.304 09/02/1989]',0.058,116.820,-0.007,0.368
'[23:16:52.308 09/02/1989]',0.044,115.672,-0.004,0.378
'[23:16:52.312 09/02/1989]',0.078,115.672,-0.005,0.380
'[23:16:52.316 09/02/1989]',0.064,114.066,-0.002,0.375
'[23:16:52.320 09/02/1989]',0.080,114.754,-0.000,0.380
'[23:16:52.324 09/02/1989]',0.098,113.836,0.003,0.380
'[23:16:52.328 09/02/1989]',0.110,112.000,-0.000,0.385
'[23:16:52.332 09/02/1989]',0.114,112.459,0.004,0.387
'[23:16:52.336 09/02/1989]',0.100,111.541,0.002,0.387
'[23:16:52.340 09/02/1989]',0.140,110.394,0.004,0.387
'[23:16:52.344 09/02/1989]',0.114,109.705,0.002,0.392
'[23:16:52.348 09/02/1989]',0.168,109.475,0.002,0.390
'[23:16:52.352 09/02/1989]',0.140,109.246,-0.000,0.390
'[23:16:52.356 09/02/1989]',0.168,108.328,0.001,0.394
'[23:16:52.360 09/02/1989]',0.174,107.410,-0.002,0.385
'[23:16:52.364 09/02/1989]',0.192,107.410,-0.002,0.397
'[23:16:52.368 09/02/1989]',0.174,106.492,-0.002,0.392
'[23:16:52.372 09/02/1989]',0.226,106.492,-0.003,0.399
'[23:16:52.376 09/02/1989]',0.192,104.885,-0.002,0.399
'[23:16:52.380 09/02/1989]',0.238,104.656,-0.003,0.394
'[23:16:52.384 09/02/1989]',0.228,104.197,-0.002,0.401
'[23:16:52.388 09/02/1989]',0.220,104.656,-0.002,0.399
'[23:16:52.392 09/02/1989]',0.206,104.197,-0.002,0.401
'[23:16:52.396 09/02/1989]',0.196,103.738,-0.001,0.399
'[23:16:52.400 09/02/1989]',0.170,102.820,0.001,0.406
'[23:16:52.404 09/02/1989]',0.162,103.049,-0.000,0.397
'[23:16:52.408 09/02/1989]',0.148,102.820,0.000,0.390
'[23:16:52.412 09/02/1989]',0.104,102.131,-0.000,0.406
'[23:16:52.416 09/02/1989]',0.066,101.672,0.004,0.394
'[23:16:52.420 09/02/1989]',0.060,100.984,0.005,0.406
'[23:16:52.424 09/02/1989]',0.038,101.443,0.006,0.399
'[23:16:52.428 09/02/1989]',0.050,100.984,0.009,0.404
'[23:16:52.432 09/02/1989]',0.032,100.525,0.009,0.394
'[23:16:52.436 09/02/1989]',0.038,100.525,0.009,0.399
'[23:16:52.440 09/02/1989]',0.022,100.295,0.013,0.390
'[23:16:52.444 09/02/1989]',0.010,100.066,0.014,0.394
'[23:16:52.448 09/02/1989]',-0.026,100.066,0.016,0.394
'[23:16:52.452 09/02/1989]',0.006,99.836,0.017,0.392
'[23:16:52.456 09/02/1989]',-0.016,98.918,0.017,0.397
'[23:16:52.460 09/02/1989]',0.008,98.918,0.017,0.399
'[23:16:52.464 09/02/1989]',0.006,98.230,0.013,0.397
'[23:16:52.468 09/02/1989]',0.002,98.459,0.017,0.404
'[23:16:52.472 09/02/1989]',0.008,98.230,0.013,0.404
'[23:16:52.476 09/02/1989]',0.018,98.230,0.015,0.401
'[23:16:52.480 09/02/1989]',0.002,97.771,0.014,0.397
'[23:16:52.484 09/02/1989]',0.020,97.541,0.011,0.401
'[23:16:52.488 09/02/1989]',0.008,97.312,0.006,0.394
'[23:16:52.492 09/02/1989]',0.016,97.771,0.007,0.401
'[23:16:52.496 09/02/1989]',-0.004,97.541,0.002,0.397
'[23:16:52.500 09/02/1989]',0.004,97.312,-0.002,0.394
'[23:16:52.504 09/02/1989]',-0.010,97.082,-0.002,0.394
'[23:16:52.508 09/02/1989]',-0.012,97.541,-0.002,0.392
'[23:16:52.512 09/02/1989]',-0.096,97.082,-0.003,0.399
'[23:16:52.516 09/02/1989]',-0.112,96.394,-0.002,0.392
'[23:16:52.520 09/02/1989]',-0.120,96.394,-0.000,0.399
'[23:16:52.524 09/02/1989]',0.034,97.082,-0.000,0.394
'[23:16:52.528 09/02/1989]',0.376,96.623,-0.002,0.392
'[23:16:52.532 09/02/1989]',0.788,95.934,-0.001,0.399
'[23:16:52.536 09/02/1989]',1.174,96.394,-0.002,0.390
'[23:16:52.540 09/02/1989]',1.416,96.164,-0.000,0.394
'[23:16:52.544 09/02/1989]',1.516,96.164,0.002,0.397
'[23:16:52.548 09/02/1989]',1.100,95.705,0.000,0.394
'[23:16:52.552 09/02/1989]',0.712,95.475,0.004,0.392
'[23:16:52.556 09/02/1989]',0.304,95.475,0.006,0.399
'[23:16:52.560 09/02/1989]',-0.174,95.934,0.006,0.390
'[23:16:52.564 09/02/1989]',-0.426,95.705,0.006,0.394
'[23:16:52.568 09/02/1989]',-0.610,95.246,0.004,0.390
'[23:16:52.572 09/02/1989]',-0.748,95.246,0.001,0.390
'[23:16:52.576 09/02/1989]',-0.770,95.016,0.000,0.394
'[23:16:52.580 09/02/1989]',-0.692,94.557,-0.000,0.387
'[23:16:52.584 09/02/1989]',-0.578,94.328,-0.000,0.399
'[23:16:52.588 09/02/1989]',-0.448,94.557,-0.001,0.387
'[23:16:52.592 09/02/1989]',-0.334,94.098,-0.002,0.390
'[23:16:52.596 09/02/1989]',-0.180,94.098,-0.001,0.382
'[23:16:52.600 09/02/1989]',-0.088,93.869,-0.003,0.385
'[23:16:52.604 09/02/1989]',-0.048,94.098,-0.004,0.378
'[23:16:52.608 09/02/1989]',-0.038,94.787,-0.004,0.371
'[23:16:52.612 09/02/1989]',-0.040,93.869,-0.005,0.373
'[23:16:52.616 09/02/1989]',-0.030,93.639,-0.005,0.371
'[23:16:52.620 09/02/1989]',-0.024,93.180,-0.007,0.371
'[23:16:52.624 09/02/1989]',-0.010,92.951,-0.009,0.371
'[23:16:52.628 09/02/1989]',-0.008,93.180,-0.012,0.373
'[23:16:52.632 09/02/1989]',0.002,92.492,-0.014,0.371
'[23:16:52.636 09/02/1989]',-0.000,92.721,-0.013,0.366
'[23:16:52.640 09/02/1989]',0.016,92.721,-0.017,0.371
'[23:16:52.644 09/02/1989]',0.012,91.803,-0.015,0.368
'[23:16:52.648 09/02/1989]',0.028,91.803,-0.015,0.371
'[23:16:52.652 09/02/1989]',0.024,91.344,-0.017,0.363
'[23:16:52.656 09/02/1989]',0.024,90.885,-0.018,0.368
'[23:16:52.660 09/02/1989]',0.018,90.885,-0.017,0.363
'[23:16:52.664 09/02/1989]',0.034,90.885,-0.017,0.361
'[23:16:52.668 09/02/1989]',0.040,89.967,-0.013,0.366
'[23:16:52.672 09/02/1989]',0.040,90.426,-0.013,0.356
'[23:16:52.676 09/02/1989]',0.038,89.967,-0.012,0.361
'[23:16:52.680 09/02/1989]',0.050,89.967,-0.009,0.361
'[23:16:52.684 09/02/1989]',0.048,90.426,-0.006,0.352
'[23:16:52.688 09/02/1989]',0.048,89.967,-0.005,0.356
'[23:16:52.692 09/02/1989]',0.060,90.197,-0.002,0.352
'[23:16:52.696 09/02/1989]',0.058,89.738,0.002,0.352
'[23:16:52.700 09/02/1989]',0.056,89.967,0.004,0.349
'[23:16:52.704 09/02/1989]',0.062,89.967,0.006,0.361
'[23:16:52.708 09/02/1989]',0.072,89.738,0.011,0.349
